School Name,Active,Admissions Drop,Archived,Dropped,Total,Drop_Count,Drop_Rate
School52,0,1,1,0,2,1,0.5
School520,1,0,16,0,17,0,0.0
School521,0,3,0,0,3,3,1.0
School522,2,0,4,0,6,0,0.0
School523,4,1,2,0,7,1,0.14285714285714285
School524,0,0,1,0,1,0,0.0
School525,2,1,2,0,5,1,0.2
School526,2,1,2,0,5,1,0.2
School527,1,2,1,0,4,2,0.5
School528,0,0,1,0,1,0,0.0
School529,1,1,6,0,8,1,0.125
School53,2,1,2,0,5,1,0.2
School530,1,0,21,1,23,1,0.043478260869565216
School531,3,1,7,0,11,1,0.09090909090909091
School532,0,0,4,0,4,0,0.0
School533,0,2,0,0,2,2,1.0
School534,1,0,4,0,5,0,0.0
School535,0,0,4,0,4,0,0.0
School536,2,0,6,0,8,0,0.0
School537,2,0,8,0,10,0,0.0
School538,2,2,24,0,28,2,0.07142857142857142
School539,0,2,2,0,4,2,0.5
School54,0,2,2,0,4,2,0.5
School540,2,3,8,0,13,3,0.23076923076923078
School541,1,1,3,0,5,1,0.2
School542,4,2,19,0,25,2,0.08
School543,0,1,0,0,1,1,1.0
School544,0,0,0,1,1,1,1.0
School545,0,2,0,0,2,2,1.0
School546,1,0,1,0,2,0,0.0
School547,0,3,0,1,4,4,1.0
School548,0,2,4,0,6,2,0.3333333333333333
School549,2,0,17,0,19,0,0.0
School55,0,0,1,0,1,0,0.0
School550,0,2,5,0,7,2,0.2857142857142857
School551,0,1,0,0,1,1,1.0
School552,2,4,8,0,14,4,0.2857142857142857
School553,1,0,7,0,8,0,0.0
School554,1,1,8,0,10,1,0.1
School555,0,0,10,0,10,0,0.0
School556,3,6,23,0,32,6,0.1875
School557,1,1,1,0,3,1,0.3333333333333333
School558,1,0,7,0,8,0,0.0
School559,0,0,8,0,8,0,0.0
School56,2,3,2,0,7,3,0.42857142857142855
School560,1,1,0,0,2,1,0.5
School561,0,2,0,0,2,2,1.0
School562,1,6,11,0,18,6,0.3333333333333333
School563,1,1,2,0,4,1,0.25
School564,1,1,4,0,6,1,0.16666666666666666
School565,2,1,2,0,5,1,0.2
School566,0,0,1,0,1,0,0.0
School567,0,0,3,0,3,0,0.0
School568,0,0,2,0,2,0,0.0
School569,4,0,19,1,24,1,0.041666666666666664
School57,1,0,2,0,3,0,0.0
School570,0,2,0,0,2,2,1.0
School571,0,0,2,0,2,0,0.0
School572,0,4,0,0,4,4,1.0
School573,0,1,10,0,11,1,0.09090909090909091
School574,0,2,0,0,2,2,1.0
School575,1,1,10,0,12,1,0.08333333333333333
School576,0,2,5,1,8,3,0.375
School577,2,3,13,0,18,3,0.16666666666666666
School578,0,2,5,0,7,2,0.2857142857142857
School579,2,0,8,0,10,0,0.0
School58,1,4,8,0,13,4,0.3076923076923077
School580,2,1,2,0,5,1,0.2
School581,0,2,0,0,2,2,1.0
School582,1,0,16,0,17,0,0.0
School583,0,1,9,0,10,1,0.1
School584,0,0,1,0,1,0,0.0
School585,0,4,0,0,4,4,1.0
School586,0,0,4,0,4,0,0.0
School587,0,0,2,0,2,0,0.0
School588,1,0,8,0,9,0,0.0
School589,1,0,9,0,10,0,0.0
School59,1,4,5,2,12,6,0.5
